id,hip,label,proper,aliases,RA_deg,DEC_deg,distance_pc,distance_ly,spect,mag
0,,Sol,Sol,,0,0,0,0,G2V,-26.7
70666,70890,Proxima Centauri,Proxima Centauri,HIP 70890 | Gl 551,217.439775,-62.679485,1.2959,4.226655604,M5Ve,11.01
71453,71681,Toliman,Toliman,HIP 71681 | HD 128621 | HR 5460 | Gl 559B | Alp2Cen,219.90519,-60.8383,1.3248,4.320914688,K1V,1.35
71456,71683,Rigil Kentaurus,Rigil Kentaurus,HIP 71683 | HD 128620 | HR 5459 | Gl 559A | Alp1Cen,219.911475,-60.833976,1.3248,4.320914688,G2V,-0.01
87665,87937,Barnard's Star,Barnard's Star,HIP 87937 | Gl 699,269.45208,4.693388,1.8238,5.948433128,sdM4,9.54
118720,,Wolf 359,Wolf 359,Gl 406,164.12226,7.01532,2.3906,7.797085336,M6,13.45
53879,54035,Lalande 21185,Lalande 21185,HIP 54035 | HD 95735 | Gl 411,165.83448,35.969877,2.5469,8.306867164,M2V,7.49
118079,,HYG 118079,,Gl 65A,24.752985,-17.949782,2.6267,8.567139652,dM5.5e,12.57
118080,,HYG 118080,,Gl 65B,24.752985,-17.949782,2.6267,8.567139652,dM5.5e,12.7
118441,,HYG 118441,,Gl 244B,101.288385,-16.71524,2.6371,8.601059876,DA2,8.44
32263,32349,Sirius,Sirius,HIP 32349 | HD 48915 | HR 2491 | Gl 244A | 9Alp CMa,101.287215,-16.716116,2.6371,8.601059876,A0m...,-1.44
92115,92403,Ross 154,Ross 154,HIP 92403 | Gl 729,282.455535,-23.836232,2.9698,9.686180888,M3.5Ve,10.37
119585,,Ross 248,Ross 248,Gl 905,355.475685,44.174924,3.1686,10.33457902,dM6  e,12.29
16496,16537,Ran,Ran,HIP 16537 | HD 22049 | HR 1084 | Gl 144 | 18Eps Eri,53.23272,-9.458262,3.2161,10.48950312,K2V,3.72
113687,114046,Lacaille 9352,Lacaille 9352,HIP 114046 | HD 217987 | Gl 887,346.462965,-35.853073,3.2759,10.6845444,M2/M3V,7.35
